transliteration,translation
i-na 1 me-at 30 TÚG ku-ta-ni e-zi-ib ša kà-ṣa-ri ù ta-ad-mì-qá-tim ša iš-tù e-kál-lim ur-da-ni-ni-ma 65 TÚG.TA qá-ta-tim ik-šu-ud-ni-a-tí ŠÀ.BA 43 TÚG ku-ta-ni a-na en-um-a-šur a-dí-in ší-tí ṣú-ba-tí-kà 22 TÚG a-hu-ru i-na 10 ku-ta-ni SIG5 ša ba-ri-ni ŠÀ.BA 4 TÚG en-um-a-šur il5-qé 2 TÚG.HI.A a-na ba-ri en-na-nim ù en-um-a-šur i-za-zu IGI tù-ur-a-a IGI lá-qé-ep DUMU šu-a-šur,"Of the 130 -tegap> tiles - minus those of the packers and the -loans - that came down from the palace 65 tegap> tiles resulted for each of us as shares; thereof I gave 43 kutānu-tegap> tiles to Ennam-Aššur. The rest of your tegap> tiles: 22 tegap> tiles remain. Of the 10 fine that are owned jointly by us, of that Ennam-Aššur has received 4 tegap> tiles; 2 tegap> tiles stand as joint property of Ennānum and Ennam-Aššur. Witnessed by Turaya, by Lā-qēp son of Šu-Aššur."
tipiššu I,"""barn, straw-store"" Nuzi;"
šapiltu I,"1. ""lower (part); inner (part)"" OA, O [KI.TA] of parts of the body; of garments, objects2. ""the remainder, rest"" O [ÍB.TAG4] of persons; of commodities, assets; math. ""remainder"" after subtraction3. ""second in rank, assistant"" legap> .4. ""anvil-stone"""
ma'ītu I,"ma'ītātu ""garden"" MB(Alal.), NB"
hazūru I,(a garment) M
kawû II,"""to burn"" (trans.) Bab. G rare D ""roast, bake"" N pass. legap> . only"
šanû II,"""(an)other"" [MAN] also ""different, strange; inimical, evil"", in ""outsiders""; mannum š. ""who else""; šanûmma ""any other"", also term for net Mars; ašar šani(u)mma ""anywhere else"";"
gallābūtu I,"""function of barber"" Ass., j [(LÚ.)ŠU.I- ] g. epēšu ""to act as barber"", also cultically of king;"
a-na i-na-ah-DINGIR ù a-lá-hi-im qí-bi-ma um-ma a-ba-ba-ma 8 ANŠE ṣa-lá-mu 1.5 ma-na KÙ.BABBAR 6 GÍN KÙ.GI ša en-um-a-šur a-mì-ša-am a-na ší-a-ma-tim a-na SÍG.HI.A ša-a-mì-im ša-lim-a-ar-dí ù e-ni-ša-ru-um ub-lu-nim a-ma-kam ANŠE.HI.A ù lu-qú-sú i-wa-ṣa-i-šu-nu e-na-tim i-dá-ma ṣa-áb-ta iš-tí ì-lí-dan a-wa-tám ni-ib-tù-uq 5 ma-na KÙ.BABBAR iš-qú-ul-ni-a-tí 5 ma-na KÙ.BABBAR a-na 45 ha-am-ša-tim nu-ZA-mì-il5-šu-um 1.6666 ma-na KÙ.BABBAR a-na 15 ha-am-ša-tim i-ša-qal 1.6666 ma-na ša-ni-tám ma-áš-qá-al-tám a-na 15 ha-am-ša-tim i-ša-qal ta-áš-bi4-it KÙ.BABBAR a-na 45 ha-am-ša-tim i-ša-qal a-hu-kà i-na pu-úz-ri-im iš-tí ì-lí-dan ul-ta-hi-iš-ma gi5-mì-li i-na ṣé-er ì-lí-dan i-dí-ma a-na-ku ú-lá i-de8 21 GÚ SÍG.HI.A a-hu-kà a-na ì-lí-dan i-da-an-ma 6 ma-na KÙ.BABBAR i-na ri-iš SÍG.HI.A-ma ì-lí-dan a-na a-hi-kà i-ša-qal a-pu-tum a-ma-kam lu-qú-tám ṣa-áb-ta a-na-kam a-dí lu-qú-tim a-,"To Inah-ilī and Ali-ahum from Ababa: 8 black donkeys, 1.5 mina silver and 6 shekels of gold belonging to Ennam-Aššur Šalim-wardī and Enišarum have brought there for purchases of wool. Pay close attention and seize the donkeys and his goods there when they leave. We have dropped the matter with Ilī-dan; he has paid us 5 minas of silver; we did him a favour (to lend him) 5 minas of silver to be paid in 45 weeks. He is to pay 1.6666 mina in 15 weeks, 1.6666 mina, his second installment, he will pay in 15 weeks (after that), and the full amount of silver he will pay in 45 weeks. Your brother secretly whispered with Ili-dan and showed a favour towards Ilī-dan, without my knowledge: your brother is to give 21 talents of wool to Ilī-dan, and Ilī-dan will pay 6 minas of silver immediately to your brother for the wool. Urgent, seize the goods there. Here he has been delayed because of those goods, and thus he does not pay heed to the orders of your father's house. And as for me, this very day gap> I am engaged in a conflict with him."
gamā'u I,vb. mng. unkn. jB legap> .
ṣupû I,"""soaked (material)"" M; med. from river; MB f. ṣupītum, desig. of chariot;"
epītu I,"""baked product, pastry"" O, Ug.;"
uddu I,"(a log, beam) jB;"
dimātiš I,"""like towers"" jB;"
šuqlu I,"f. ""packet, load"" (of 60-75 minas weight) OA, OB;"
tāwi I,"in nib tāwi ""lord of both lands"" Bogh.;"
huqqu I,mng. unkn. Bogh. legap> .
šadû I,"st. constr. šad(i); m. & f., also šadân(u) 1. ""mountain(s)"" [KUR; HUR.SAG (cf. huršānu); SA.TU] also transf. as epith. of gods, cities, tems; esp. in gap> as refuge; š.-šu emēdu ""to disappear""2. lit. ""open country, desert""3. (a myth. locality corresponding to Sum. kur) šadâniš Išaddūā'iš Išaddû'a IIšadûssu I"
1 ma-na KÙ.GI 8 ma-na KÙ.BABBAR ni-is-ha-at KÙ.BABBAR ù KÙ.GI i-na a-lim{ki} sú-in-na-da i-da-an ša-du-a-sú ša-bu ša en-num-a-šur DUMU sú-in-na-da ša qá-tí ša-ak-na-at-ni a-na sú-in-na-da áp-qí-id-ma a-ṣé-er Ì-lí-a ù en-num-a-šur ú-bi-il5 ší-ma-am i-ša-ú-mu-ma KÙ.BABBAR-pí uš-ta-ba IGI šu-ku-bi-im IGI PUZUR4.SA.TU IGI a-šur-DU10 DUMU en-na-ma-nim,"1 mina of gold, 8 minas of silver - Suen-nādā will give the import duty for the silver and gold in the City - its transport tariff paid - belonging to Ennam-Aššur son of Suen-nādā, on which I have lodged a claim, I have entrusted to Suen-nādā and he brought it to Iliya and Ennam-Aššur."
maqtaru I,"""censer"" OB;"
eparšû I,(or etamšû) (a garment) MB
mudatu I,(payment due from a mudu) Ug.;
niṭpu II,(an ornament) NB
ararihuru I,(a functionary) Nuzi;
šadādu I,"""to drag"" [GÍD(.DA)] G (a, M; pret. occas. irdud) 1. ""tow"" chariot, cart, ship, yoke; ša ša(d)dādi ""rickshaw""2. ""stretch"" a rope, ellipt. ""survey"" house, field etc.3. ""draw"" line, boundary; ""draw"" curtain etc.; ""pull"" ear, nose; ""stick out"" tongue, lips, also ""tear out"" tongue4. ""draw down"", ""draw up""; ""draw in, bring in, fetch"" troops, animal, ""produce"" witnesses5. ""draw away; drag off"", also intrans. ""move away""6. astr. ellipt. ""egap> tend (time)"" i.e. ""be late""; ""have patience""; ""endure"" anger, ""bear"" guilt, punishment; ana libbi- š. ""consider earnestly""7. intrans. ""egap> tend, stretch"" of property, parts of body, egap> taGtn iter. of G Gt ""tug, pull in both directions"" OB D ""tug, drag"" Š caus. of G N pass. of G Ntn pass. of Gtn"
a-ta-ta a-na en-na-sú-in DUMU šu-a-nim iṣ-ba-at-ni-a-tí-ma um-ma a-ta-ta-ma a-ma 3 li-me URUDU ru-ba-um wa-ah-šu-ša-na-i-um a-na ga-ma-ar-tim e-pu-ul-kà KÙ.BABBAR ší-im-šu a-na a-lim{ki} tù-ša-ak-ša-dam me-na-lam a-ta ta-kà-al ší-im-tám a-na-ku a-lá-qé um-ma en-na-sú-in-ma KÙ.BABBAR ší-im URUDU a-na a-lim{ki} ù-ša-ak-ša-da-ku-ma ší-ma-am a-ša-a-ma né-ma-lam a-na-ku a-kà-al IGI na-áb-sú-in DUMU pì-lá-ah-IŠTAR IGI ma-lik-e-nam DUB.SAR,"Atata seized us against Ennam-Suen, son of Šu-Anum and Atata said: Look here, 3000 (minas of) copper the ruler of Wahšušana has promised to pay to you as a final settlement. You would see to it that the silver paid for it would reach me in the City. You would enjoy the profit on it and I would obtain the capital sum."" Ennam-Suen answered: ""I would see to it that the silver paid for the copper reaches you in the City and I would make purchases (with it) and the profit (on it) I would enjoy."" In the presence of Nab-Suen, son of Pilah-Ištar, of Malik-ennam, of Malik-ennam, the scribe."""
kusāsū I,"tant. ""gums"" or ""chewed bits"" jB;"
sasûtu I,"mng. unkn. NA in ša s., desig. of deity;"
aqdamātu I,"""near bank"" Mari of a river;"
apisasi I,(a tree) NA
kannaškarakku I,(a kind of table) O [(GIŠ.)KA.KARA4];
matīma I,"""ever; always"" [UD.KÚR.ŠÈ] 1. in questions ""at any time, ever""; in pos. sentences ""sometime""; with neg. ""never""2. ""always"" in the past3. ""for ever"" in the future; ana m. ""for ever"""
šaršarānu II,"""rebel"" NA, NB"
elamkû I,(a kind of arrow) jB legap> .
sagānu I,"""governor"" NB;"
gugallu II,'big ogap> ' jB desig. of drum;
tiāmtu I,"jB also timiāti ""sea; lake"" [A.AB.BA; OB also AB]; M, NA also Māt-t. ""Sea-land""; as DN Tiāmat etc."
appatu II,"NA once appāni ""bridle, rein"" Bab., M [NA (KUŠ.)PA; AB] j, NA mukīl appāti 'bridle-holder', ""chariot driver""; also jB legap> . appatān du. (a wooden object);"
tahlaptu I,"NB var. of tahluptu ; legap> ., var. of nahlaptu"
hīlū I,"tant. ""labour pains, birth pangs"" jB, NA;"
nehsu I,"~ ""inlay"" NA in precious metal"
hahû II,"""to spew, spit out"" M G (pres. ihahhu, i-'a-ha, i-a-ú) blood, bile etc. Gtn iter."
subbusu II,"D ""to call together, assemble"" NB, troops"
a-šùr-ma-lik a-na ITU.3.KAM ṭup-pá-am ša ší-be-šu ù ṭup-pá-am <gap> ša wa-ba-ar-tim ú-ba-lam-ma iš-tí šu-be-lim e-ta-wu šu-ma a-na ITU.3.KAM a-šùr-ma-lik ṭup-pá-am ša sí-be-šu ù ša wa-ba-ar-tim lá i-ta-áb-lam ½ ma-na KÙ.BABBAR a-na šu-be-lim a-šùr-ma-lik i-ša-qal iš-tù ha-mu-uš-tim ša bu-zu-ta-a ù a-šùr-i-mì-tí ITU.KAM té-i-na-tim li-mu-um {d}IŠKUR-ba-ni tù-ra-a en-na-sú-in ú mu-ti-a-šùr a-wi-lu a-ni-ú-tum da-a-nu,"<gap> Within three months Aššur-mālik shall bring the tablet of his witnesses and the tablet of the trading-station and discuss with Šu-Bēlum. If within three months Aššur-mālik does not bring the tablet of his witnesses and the one of the trading-station, Aššur-mālik will pay ½ mina of silver to Šu-Bēlum. Reckoned from the week-eponymy of Buzutaya and Aššur-imittī, month 10, eponymy-year of Adad-bāni. Tūraya, Ennam-Suen and Muti-Aššur, these men acted as judges."
<gap> 20- <gap> TÚG šu-ra-am a-na 11 GÍN a-na É kà-ri-im a-dí-i i-na 2 ma-na 10 GÍN KÙ.BABBAR ša i-na ni-kà-sé a-na e-lá-ma i-na-pu-lu-ni-im ŠÀ.BA 1.3333 ma-na 3 GÍN KÙ.BABBAR al-qé ší-tí KÙ.BABBAR ⅔ ma-na 7 GÍN KI a-šùr-ma-lik ì-lí-a-lim ù la-qé-ep a-lá-qé 2 ma-na 14 GÍN KÙ.BABBAR i-na ša a-šur-be-el-a-wa-tim i-na <gap> -ma <gap>,"<gap> gap> one dark colored tegap> tile I deposited for 11 shekels at the colonial office. Of the 2 minas 10 shekels of silver that one will balance to Elamma at the accounting, 1 mina 23 shekels thereof I took; the rest of the silver, 47 shekels, I will collect from Aššur-mālik, Ilī-ālum and Lā-qēp. 2 minas 14 shekels of silver from what belongs to Aššur-bēl-awātim, from gap>"
ruqququ I,"""very thin"" jB legap> .;"
ṣahātu II,"""to wish, desire"" NA G ""want"" field"
lapān I,"""in front of"" j spatially; with vb.s of fleeing, fearing etc. ""from before""; taking, stealing ""from"" s.o.; attitude ""towards, with regard to"" s.o.; occas. commanded, engendered ""by"" s.o.;"
amaru II,"f. ""side wall"" jB, NA; of bed;"
šamru II,(a nt) jB legap> .
šīpātu I,"tant., occas. construed as sg.; OA šaptum ""wool, fleece"" [SÍK(.MEŠ.A); M SIK ]; from sheep; jB also of cotton, trees nāš š."
harrumu I,"""enclosed in envelope"" OA = harmum I of tablets in ;"
kibinû I,"(syn. for) ""father"" jB legap> ."
dirsu I,"""tramng back, clearing"" OB, process on reeds;"
baṣāṣu I,"""to trickle"" jB legap> ., NA G"
šabburu I,"""broken"" OA desig. of good quality copper;"
ukkupu I,mng. uncl. jB legap> . D adj. or infin.;
elēnītu I,"'the superior one' jB mag. (desig. of witch); NB ""deceitful words"" (cf. elītu 10);"
pānišam I,"adv. ""first, as first action"" OA;"
hubūru I,"(a beer jar) Bab., OA [MÙD ] OA du. ""(twin) jars"", bīt h.; NB sūqi ša h. ""street of h."""
akī I,"""as"" NA, NB 1. prep. (alternating with cf. kī) ""like, in accordance with; (in substitution) for""; akī arhi ""per month""2. conj. of time ""as soon as, when""; akī ša ""just as, in the way that"""
tamlîš I,(desig. for kind of drug) M rdg. uncl. (wr. UD-liš)
arhu I,"f. aruhtu ""fast, quick"" O, NA; in OB egap> t. epith. of kakkum; jB(Ass.), NA of copper, bronze;"
madlu I,"""salted"" NA;"
turinnu I,"(or durinnum) (a space, room) OA"
nušurtu I,"""portion"" OB;"
piri'tu I,"""shoot, sang"" NA, of palm tree;"
hannipu I,"""baseness, impiety"" Am.;"
ištēnû I,"""e"", Ass. with tant. subst. ""one (set, pair of)"" shoes etc.; ""each one""; Nuzi of sheep ""once (shorn)""; jB legap> . ""one year old""; NB ""one each""; Ug. of kings ""in accord, united"";"
samāšu I,"~ ""to hide"" O G (a or u) legap> ., jB(lit.) D Mari ""conceal"" person, animal N Mari ""be hidden"" or ""hide o.s."", from census"
urrākūtu I,"""sculptor's craft"" jB(Ass.) in šipir u. ""sculptors' work"";"
tašlīšu I,"NB tašallišā(n)nu ""third man on chariot"" NA, NB [LÚ.3-šú; LÚ.3.U5 etc.];"
tahhūtu I,"""recement, substitution"" OB;"
sebîšu I,"etc. ""seven times""; freq. adi s.-šu;"
sarāpu I,"~ ""to sup"" M G of person consuming porridge D mng. unkn. legap> ."
uqnītu I,"""blue"" OB as fgap>;"
guhšû I,"(a reed altar) O, MA [OB GI.GÚHŠU; jB GI.GUHŠU] loaded with bread;"
abnu I,"m. & f.; abnū and abnātu(m) ""stone"" [NA4] 1. ""stone, rock"" in gener.2. ""(semi)precious stone""3. compounds: aban alādi ""birth stone""; a. erê ""pregnancy stone""; a. išāti ""fire stone, flint""4. ""stone (vessel)"" jB, NA5. ""stone (bead)""; jB legap> . ""amulet-stone""6. O, OB ""stone (weight)""; Nuzi ""pebble, counter"" for accounting7. transf. jB ""(hail)stones"" also a. šamê ""hailstones""; legap> . ""stones, kernels of fruits""; med., legap> . ""stones"" in body8. legap> . ""date panicle"" (different word )"
a-na DINGIR-mu-ta-bi-il5 qí-bi-ma um-ma en-um-a-šùr-ma a-na-kam a-na-ku ù lá-qé-ep DUMU šu-a-šùr i-na ma-ah-ri-kà ù IGI lá-qé-ep DUMU PUZUR4-ša-du-e i-na É kà-ší-im ni-kà-sí ni-sí-ma 12.5 ma-na 7 GÍN ṣa-ru-pá-am e-zi-ib KÙ.BABBAR e-li-tí-ni i-na li-bi lá-qé-ep iš-tù ha-muš-tim ša i-tur4-DINGIR a-na KÙ.BABBAR ku-a-tí ú-ša-zi-iz i-na pu-ru-uš-ha-dim i-na e-ra-bi-šu-ma KÙ.BABBAR ú-šé-ba-lam KÙ.BABBAR i-na pu-ru-uš-ha-dim i-na e-ra-bi-šu-ma a-na ma-lá a-wa-tí-ni a-na KÙ.BABBAR ša ú-ša-zi-za-ku-ni-ma KÙ.BABBAR lá iš-ta-aq-lu a-ta ṭup-pu-šu ta-al-pu-ut-ma u4-me-e ta-áš-ku-šu-um ù a-ṣé-er ša ki-ma i-a-tí ù ku-a-tí a-na KÙ.BABBAR ša-áš-qú-lim áš-ta-pá-ra-šu-ma KÙ.BABBAR a-na ša ki-ma i-a-tí ù ku-a-tí a-dí u4-mì-im a-nim lá iš-ta-qá-lá-ni ù iš-tù a-na-ku a-lá-kà-ni KÙ.BABBAR i-ta-ri-šu-ma i-ta-ri-šu-ma KÙ.BABBAR ta-da-nam ú-lá i-mu-a um-ma šu-ut-ma ṭup-pì DINGIR-mu-ta-bi-il5 il5-pu-ut a-na ṭu,"To Ilī-mutabbil from Ennam-Aššur: Here I and Lā-qēp son of Šu-Aššur settled accounts in the house of the official with you and Lā-qēp son of Puzur-šadu'e as witnesses, and 12.5 minas 7 shekels of refined silver — apart from the silver of our caravan — is owed by Lā-qēp. Reckoned from the week of Itūr-ilī. With respect to the silver it was you I designated. On his arrival in Purušhaddum, he should send the silver. When he arrived in Purušhaddum in accordance with our agreement you write a tablet for him for the silver for which I had designated you and which he did not pay, and you set a term for him. Also, I kept writing to my represesntatives and you to have the silver paid, but until this day he has not paid the silver to my representatives or to you. Also, after I personally arrived, he demanded and demanded the silver repeatedly, but he would not pay the silver. He said: ""Ilī-mutabbil wrote my tablet. Send for my tablet, let them bring my tablet and then take your silver."" He keeps answering about his tablet and refuses to pay the silver. My dear brother and friend, I and you are not men of strife. Have his tablet copied with 3 affiliated traders as witnesses and gap>"
um-ma a-šur-ba-ni-ma a-na a-lá-hi-im <gap> ù lu-lu qí-bi-ma 3.5 ma-na KÙ.BABBAR ku-nu-ki-a LUGAL-sú-in DUMU PUZUR4-sú-in na-áš-a-ku-nu-tí a-hu-ú-a a-tù-nu i-na {d}UTU-ši ša LUGAL-sú-in e-ra-ba-ni 3.5 ma-na KÙ.BABBAR iš-tí a-šur-ma-lik DUMU a-lá-hi-im a ṣí-ib-tim al-qé ṭup-pí ha-ri-im i-na {d}UTU-ši ṭup-pá-am ta-ša-me-a-ni KÙ.BABBAR a-na a-šur-ma-lik šu-uq-lá-ma ṭup-pí šé-ṣí-a-nim-ma li-it-a-šu-ma ù a-šar a-lá-hi-im li-ib-ší a-hu-ú-a a-tù-nu a-na 1 ma-na-im 1.3333 GÍN.TA KÙ.BABBAR ṣí-ib-tám ú-ṣa-áb a-na 15 u4-me-e ha-mu-uš-tum ša i-dí-a-bi4-im KÙ.BABBAR al-qé i-na 1 ma-na-im ša en-na-nim i-ta-ak-sá-am KÙ.BABBAR al-qé ih-da-ma ṣí-ib-tám i-ṣé-ri-a lá i-lá-qé a-hi šu-ut ga-ma-al-šu a-le-e šu-ma ṣí-ib-tám ša lá-qá-im il5-qé 5 GÍN KÙ.BABBAR i li-bi4 lu-lu i-šu ŠÀ.BA dí-na-šu-um,"<gap> From Aššur-bāni to Ali-ahum and Lulu: Šar-Suen son of Puzur-Suen brings you 3.5 minas of silver under my seal. My dear brothers, the day Šar-Suen arrives - I have taken a loan of 3.5 minas of silver from Aššur-malik son of Ali-ahum against interest; my tablet is certified - the day you hear the letter, pay the silver to Aššur-malik, get out my tablet, st it and then let it remain with Ali-ahum. My dear brothers, I have to add interest at the rate 1.3333 shekel per mina; I received it for 15 days in the week of Iddin-abum. I received the silver cut off by way of the one-mina stone of Ennānum. Take care that he should not take interest from me. He is my brother. I can do him favours. If he takes interest as he can, I have 5 shekels of silver owed by Lulu; give (the interest) to him out of that."
ebertu II,"""pace; step"" M; also of staircase;"
sakku I,"""blocked; deaf"" Bab. of canal; of person, also as DN;"
um-ma i-ku-pí-a-ma a-na ib-ni-lí en-nam-a-šur ù <gap> qí-bi-ma a-na en-nam-a-šur qí-bi-ma 1 TÚG ku-ta-num a-na am-tí-kà i-nu-mì a-na a-lá-ni ta-li-ku <gap> ší-im-šu-ma <gap> a-na ší-mì-im <gap> -ma ší-im-šu <gap> -kà li-ib-ší <gap> lá ta-dí-in <gap>,"<gap> From Ikūn-pīya to Ibni-ilī, Ennam-Aššur and gap> ; (specifically) to Ennam-Aššur: 1 -tegap> tile for your maid when you went to the villages gap> indeed its pricegap> for purchases gap> its price should remain gap> you have not sold gap>"
kadru I,"f. sg. kadirtu, kadratu ""rearing up, aggressive"" Bab., NA of bull, king, deity, enemy;"
a-na en-um-a-šur ù a-lá-hi-im qí-bi-ma um-ma šu-{d}DUMU.ZI-ma šu-ma a-hu-ú-a a-tù-nu-ma ta-ra-a-ma-ni ki-ma a-na-ku a-na-kam ki-ma ku-nu-tí am-ta-hu-ṣú-ma a-na a-wa-tí-ku-nu a-za-zu 26 ma-na KÙ.BABBAR É a- <gap> a-dí-šu ú a-ni- <gap> 2 né-nu na-al-pu-ta-ni a-ša-me-ma e-pì-iš-tí a-we-lim ša-ah-lá-at šu-ma a-we-lúm É-tám i-šu-ma na-ru-qú-šu šál-ma-at a-ni-tum lá a-ni-tum tí-ir-ta-ak-nu za-ku-tum li-li-kam šu-ma a-we-lam5 ta-da-ga-lá-ma lá i-dum ki-ma i-a-tí mì-ta-ah-ṣa-ma ša <gap> ku <gap>,"<gap> To Ennam-Aššur and Ali-ahum from Šu-Tammuzi: If you are my brothers and love me, since I here fight for you and take care of your affairs, 26 minas of silver gap> I gave and gap> the two of us have been booked. I hear that the man's actions are in disorder. Send me a clear report whether it is so or not that the man has a house and his joint-stock capital is safe. If you observe that the man has no sense, then do your very best, acting for me, and gap>"
anna I,"""yes, certainly"" O, Nuzi; annu Iannāma Iinanncf. akannû Iēni I"
waldu I,"""born"" OA, OB, M;"
sardiu I,(a song of bles O;
šitlû I,mng. unkn. Bogh. legap> .
allu'tu I,(a nt) jB legap> .
ṭarāsu I,"(or ṭ/ṣu) ""to send"" (person) Ug. G (pret. aṭrus); for ṭarādu or tarāṣu I"
būrtu III,"""proof, attestation"" OB in ṭuppi b. ""record of attestation"";"
illu I,"1. ""partner, comrade"" O. (desig. of quality) OB of cattle; NB of wool"
sangilmud I,"(a bluish stone) j, NA [NA4.SAG.GIL.MUD]"
