oare_id,transliteration,translation
cc50cacb-aca4-4713-bbf3-99d1f6b3b244,Amurrum-mā ša-lim-a--šur-mā a--na en-nam-a--šur u a--lā-hi-im qí-bi-mā i--na ṣú-ha-ri-a- ša i--na re-šī-ku-nu i--za-zu-ni kasap ša da-da-nim a--na qá-tí-šu dí-na-mā e-nam- <gap> a--na <gap> ak-li-im u-lā i--šu-mā ut ri <gap> ša-hi-ra-tim u šī-na a--na ṣú-ha-ri 40 i--lā-tim SIG5 ša-mā-ni-mā a--lā-hu-Amurrum u a--lu-a- lu-ub-lu-nim ½ mā-na kasap a--na lā-mā-sí šé-bi-lā-ni-im,"<gap> From Šalim-Aššur to Ennam-Aššur and Ali-ahum: Give the silver from Dadānum (to) one of my servants who are assisting you for his disposal and gap> he does not have of bread. gap> sandals, and two for the servants. Buy 40 good bags and let Ali-ahum and Aluwa bring them. Send ½ mina of silver to Lamassī."
5b503390-03cf-4708-89db-d7cab5b988cc,<gap> pī-ri-kà-ni ša a--na-na 1 lu-bu-ša-am 1 ṣubātē ra-qá-tám a--na a--bu-ša-lim mer'ēn ṣí-lā-{d}IM a--dí-in šēbum mā-nu-kī(ma)-a--šur šēbum ku-zi-zi-a-,"<gap> gap> belonging to Anna-anna, 1 dress (and) 1 thin tegap> tile I gave to Abu-šalim son of Ṣill-Adad. Witnessed by Mannum-kī-Aššur, by Kuziziya."
b2f4aa89-c723-4fd0-a79c-0ae342a890ce,Amurrum-mā en-na-sú-in u en-Amurrum-a--šùr-mā a--na Amurrum-mā-za u tù-ta-a- Amurrum-mā en-na-sú-in-mā a--na Amurrum-mā-za qí-bi-mā a--hi a--ta eb-ri a--ta a--ta u tù-ta-a- a--ṣé-er lā-qé-ep i--na šī-a--ri-im u ša-am-šu-wa-im kī(ma)-mā ša a--na ra-mì-ni-kà u i--a--tim tù-uš-ta-ba-ru-u-ni ih-da-mā a--na mā-lā na-áš-pé-er-tí-ni ša a--na ṣé-er lā-qé-pī-im u {d}e-šu-ba-ni ni-iš-pu-ra-ni i--na ša-ha-at lā-qé-pī-im i--zi-za-mā ih-da-mā i--na pá-ni-im-mā pu-ùh-ri-im ta-e-ra-mā a--lam5-kī(ma) mu-ùh-ra-mā a--na mā-lā ša na-ru-qí-im kī(ma)-mā a--wa-tum ša a--lim{ki} da-na-a--ni-mā ṭup-pu-Amurrum eqlum-lam5 u-ku-ša-ni a--na a--lim{ki} ta-e-ra-mā ṭup-pá-am ša dí-in a--lim{ki} le-qé-a--nim-mā ša kī(ma)-mā šī-mā-at ša-lim-a--šùr ša a--lim{ki} ra-bi-ṣa-ni-mā ṭup-pu-Amurrum ša lim ša šál-mā-a--šùr ša ba-áb né-bi-ri-šu a--wa-sú iq-bi4-u-mā ṭup-pu-Amurrum a--na i--li-a- mer'ēn e-lā-lí pá-aq-du-ni ṭup-pu-Amurrum šu-ut i--mu-tù-ni ṭup-pá-am ša dí-in a--lim{ki} le-qé-a--nim-mā ša kī(ma)-mā ṭup-pu-Amurrum ša a--na i--li-a-,"From Enna-Suen and Ennam-Aššur to Ummaza and Tutaya; from Enna-Suen to Ummaza: My dear brother and friend, you and Tutaya, pay attention morning and day towards Lā-qēp as you would be persistent towards your own affairs and mine, assist Lā-qēpum in accordance with our missive that we sent to Lā-qēpum and Ešu-bāni, and take care to react at the first assembly- meeting and confront the City, turn back to the City concerning the joint-stock capital since the orders of the City are strict, and the tablet abroad has been superseeded, and get a tablet with a verdict of the City stating that since the will of Šalim-Aššur of the City lies around, the tablet of Šalim-Aššur in which he spoke his will when he passed away, and which was entrusted to Iliya son of Elāli, that this tablet will be invalid. Get a tablet with a verdict of the City stating that the tablet which was entrusted to Iliya is invalid and that the sons of Šalim-Aššur shall go to the City with the attorney and debate on the basis of their will (made) in the City. Get a tablet from the City with this content and send it with Tutaya. Do not cause him any delay. Here we are agreed with Tutaya. Write his name in the tablet from the City. To Ummaza: Take care to assist Lā-qēpum and get a tablet from the City. We too are men capable of doing favours. We shall show you one! Tutaya brings a belt for your waist."
bfa91e0e-96c6-48b2-878b-eb50fce3e535,šiqlam kasap i--ṣé-er ga-lu u ku-lu-mā-an pé-ru-wa i--šu i--na ša-tim ša-tim 6 šiqlam kasap i--ša-qú-lu šēbum kī(ma)-li-nu-mā-an,18 shekels of silver Galu and Kuluman owe to Peruwa. In successive years they will pay each time 6 shekels In the presence of Kilinuman.
0b94fbc1-0422-4849-9bca-53197403585b,i--na 48 ku-ta-ni 2 ṣubātē ku-ta-ni i--na ku-sí-i--šu ni-iš-qú-ul 1 ku-ta-nam ni-iš-ru-ut 2 ku-ta-ni a--na tù-Amurrum-li-a--i--im ni-dí-in 3 ku-ta-ni <gap> -tim <gap>,<gap> Of the 48 kutānus we paid 2 kutānu-tegap> tiles in his chair.
3809e5da-963a-4926-9b86-80e60b641a4c,15 šiqlam kasap 1 ṣú-pu-Amurrum i- li-bi hu-ur-šu-nu-mā-an <gap> ri <gap>,"<gap> 15 shekels of silver, 1 white sheep owed by huršun-uman gap>"
ec08ffc4-42d3-43de-bb04-48467149fd4b,a--na hi-na-a- u e-lā-mā qí-bí-mā Amurrum-mā i--dí-a--bu-mā ½ mā-na 5 šiqlam kasap ṣa-ru-pá-am i--ṣé-er {d}EN.LÍL-ba-ni mer'ēn sà-sà-a- ṭup-pu-šu ha-ar-mu-Amurrum i--na li-bi4 ṭup-pī-a- i--na tù-ur-hu-mì-it bēt hi-na-a- i--ba-šī a--ba-u-a- a--tù-nu ṣa-ab-ta-šu-mā kasap ša-áš-qí-lā-šu šu-mā mì-mā i--qá-bi4 Amurrum-mā šu-ut-mā a--na e-lā-i--šu kasap a--ša-qal eqlum-lam u-lā 1 u-ṣí ṣa-ab-ta-šu-mā kasap ša-áš-qí-lā-šu-mā u iš-té-en i- ba-ri-ku-nu ṭup-pá-am li-dí-šu-Amurrum kī(ma)-mā ṭup-pu-šu sà-ru a--na e-lā-mā qí-bí-mā 2 ṣubātē ku-ta-ni a--šur-mu-ta-píl mer'ēn šu-be-lim i--na ku-nu-uk da-dí-a- kà-an-ku-mā ub-lā-kum a--bi a--ta be-lí a--ta 1 ṭup-pá-am ša ½ mā-na 3 šiqlam kasap ha-bu-lā-ku-ni ku-nu-uk-šu-mā a--na mer'ēn Amurrum-me-a--nim ke-nim dí-in-šu-mā lu-ub-lu-ni-šu,"Say to hinnāya and Elamma, thus Iddin-abum: 35 shekels of refined silver Enlil-bāni, son of Sasaya, owes (me); his sealed debt-note is among my tablets (that are) in Durhumit, in the house of hinnāya. Please, my fathers, seize him and make him pay the silver. If he protests and says: 'I will pay him the silver when he comes up' - he must not leave for the countryside, seize him and make him pay the silver and let one of you give him a quittance stating that his debt-note is no longer valid."" Say to Elamma: ""Aššur-mūtappil, son of Šu-Bēlum, brought you 2 -tegap> tiles provided with Dadiya's seal. Please, my father, my lord, the tablet by which I owe you 33 shekels of silver, put it under seal and give it to a reliable affiliated trader, to bring it to me."""""
f7c0535b-c527-4289-911a-c2a3f26ba2cf,a--na en-nu-Amurrum-a--šur kunukkum a--mur-Ištar 3 mā-na werium u 2 šiqlam kasap a-- <gap>,<gap> To Ennam-Aššur; seal of Amur-Ištar. 3 minas of copper and 2 shekels of silver gap>
78f8cf04-86cb-4383-9dc2-4f20198aeadf,a--na {d}MAR.TU-ba-ni a--šùr-i--mì-tí ṣí-lu-lu a--šùr-dan šarrum-{d}IM PUZUR4-a--šùr u en-Amurrum-a--šùr qí-bi-mā Amurrum-mā ša-lim-a--šùr-mā a--na PUZUR4-a--šùr qí-bi-mā i--nu-mì a--na a--lim{ki} tù-ur-da-ni Amurrum-mā a--na-ku-mā kasap i--na kasap-pī-a- a--bu-ša-lim i- pu-ùh-im il5-qé-mā a--na šī-a--mā-tim i--dí-na-kum-mā i--na ṭup-pī-im šu-Amurrum-kà u-du kī(ma)-mā kasap-pī tal-qé-u-ni i--nu-mì a--na a--lim{ki} ta-li-ku aṣ-ba-at-kà-mā šī-bi áš-ku-na-ku-Amurrum Amurrum-mā a--na-ku-mā kasap <gap> u šī-a--mā-tí-šu a--na mā-nim lā tù-ša-ar a--na ba-áb ilem šé-ru-dí-im a--zi-iz-mā pu-šu-kī(ma)-in u e-ba-ru-tí uš-ta-hi-du-ni-mā u-lā uš-té-ri-id-kà Amurrum-mā a--na-ku-mā a--hu-Amurrum u eb-ru-Amurrum i--a--tí u-mā-am i--a--tí a--na lā a--we-lim ta-al-qé-a--ni-mā lu-qú-tám ša iš-tù a--lim{ki} i--na kasap-pī-a- tù-šé-ṣí-a--ni-ni a--na šu-be-lim u en-na-sú-in me-er-e i--dí-a--bi-im tù-ta-šé-er a--hi a--ta me-er-i- a--ta u-lā ša a--wa-tim a--na-ku u a--ta i--hi-id-mā lu-qú-tám a--šar t,"<gap> To Amurrum-bāni, Aššur-imittī, Ṣilulu, Aššur-dan, Šar-Adad, Puzur-Aššur and Ennam-Aššur from Šalim-Aššur; specifically to Puzur-Aššur: When you went down to the City I said: Abu-šalim has taken silver from my silver in egap> change and given it to you to carry out purchases, and your name is indicated on the tablet."" Since you received my silver, I seized you and set witnesses for you as you left for the City, saying: ""Do not release the silver or the merchandise bought with it to anyone."" I was ready to lead you to the Gate of the God but Pūšu-kēn and my friends kept warning me so I did not lead you there. I thought: ""He is a brother and a friend to me."" But today you take me for a non-gentleman, since you have released the goods you led out of the City for my silver to Šu-Bēlum and Enna-Suen, Iddin-abum's sons. My dear brother and son, I am not a man of strife, so you must take care to give the goods wherever you handed it over gap> to my representatives."""
5bf906ac-870f-4a27-951e-e54cd64dd9f2,1.5 šiqlam kasap a--na pu-šu-kī(ma)-in 1 šiqlam a--na a--šur-mā-lik mer'ēn ili5-mā-al-kī(ma) 1 šiqlam du-Amurrum-qá-a- 1.5 šiqlam a--na ku-zal-lim mer'ēn i--li-a- mì-mā a--nim i--nu-mì a--na a--lim{ki} ur-du-ni a--na ni-qé-šu-nu a--ta-dí-in-šu-nu-tí,1.5 shekel of silver for Pūšu-kēn;
7c864e0e-4aa7-48b7-8b93-ec018ec1a719,1 biltam werium SIG5 a--lu-lu-ur u me-er-u-šu il5-qé 1 mā-na u 1 šiqlam kasap-áp-šu 1 mā-na iš-tù ha-mu-uš-tim ša kur-ub-Ištar mer'ēn PUZUR4.DINGIR a--na 2 warḫān i--ša-qú-lu šu-mā lā iš-qú-lu u 3 šiqlam ṣí-ib-tám i--na warḫān-im a--na mā-na-im u-ṣú-bu šēbum ta-bi-a- šēbum kà-mā-li-a-,Alulur and his son received 1 talent of good copper. The rate in silver: 61 to 1.
02679472-38ae-4f0b-a3cb-c3ae24e6d239,<gap> a--kī(ma)-dí-e ku-nu-kī(ma)-a- 1 emāram ṣa-lā-mā-am ša-lim-be-lí u a--šur-pī-lā-ah na-áš-u-ni-ku-nu-tí 15 šiqlam kasap šī-im emāram a--ha-mā 6 šiqlam kasap ku-ta-nam a--dí-šu-nu-tí kasap ⅓ mā-na 1 šiqlam pá-zu-ur-tí-šu-nu ša-bu-u ṣubātē ku-nu-kī(ma)-a- li-im-nu-u-ni-ku-nu-tí-mā u ṣubātē ša bēt a--lā-hi-im e-zi-bu-ni a--na u-ku pī-iq-da-mā a--na dur4-hu-mì-it a--na ṣé-ri-a- lu-ub-lam 4 mā-na anniki ku-nu-kī(ma)-a- u-ku na-áš-a--ku-nu-tí a--mā-kam šu-mā emāram i--ha-ša-ah emāram ša-mā-šu-Amurrum u sá-hi-ir-tám ša-mā-šu-Amurrum emāram ṣa-lā-mā-UM u u-nu-ut emāram a--šī-ni <gap> sú u šī-na pa-li-li ša ša-lim-be-lí u a--šur-pī-lā-ah i--ra-dí-u-ni-ku-nu-tí-ni a--na u-ku dí-na-mā ṣubātē li-is-ri-dam <gap> na-ru-qá-tim u iš-ri-im dí-in <gap> a--na na-hu-ur ṭur4-da-ni-šu <gap> na-áp-ri-sí a--mā-kam <gap> lu-ub-lam a--ga-da-tim <gap> -na-áš-a--kum,"<gap> gap> Akkadian tegap> tiles under my seal, 1 black donkey, this Šalim-bēlī and Aššur-pilah bring to you (ral). I gave them 15 shekels of silver, the price of a donkey; further, 6 shekels of silver (and) a . They have been paid in silver ⅓ mina 1 shekel for their smuggling. Let them count the tegap> tiles under my seal for you, and then entrust the tegap> tiles that I left in Ali-ahum's house to Uku and have him bring them to me in Durhumit. Uku brings you 4 minas of tin under my seal. If he wants a donkey there, buy him a donkey. Also, buy him small goods. Give Uku a black donkey s the donkey's harness gap> s 2 that Šalim-bēlī and Aššur-ah lead to you and have him pack the tegap> tiles. Give gap> sacks gap> send him to Nahur gap> my chisel gap> let him bring there gap> he brings to you."
e26bf519-a2e1-49b6-baa1-1c343ac6b28b,16 mā-na kasap ṣa-ru-pá-am i--ṣé-er a--šùr-eš-tí-kál u i--dí-a--bi4-im i--sú-rik13 i--šu šēbum a--ku-za šēbum ib-ni-sú-in,"Aššuriš-tikal and Iddin-abum owe 16 minas of refined silver to Issu-arik. Witnessed by Akuza, witnessed by Ibni-Suen."
c048ccc5-e069-4c74-81b8-63332b1c1db5,ṭup-pá-am ša 3 mā-na 15 šiqlam kasap ša hu-bu-ul a--nu-li a--na a--gi-a- mer'ēn PUZUR4-a--šur pá-qí-id šēbum u-ra-a- mer'ēn mā-na-na šēbum ṣí-lu-lu mer'ēn u-ku šēbum a--mur-a--šur mer'ēn i--dí-a--šur,"A tablet concerning 3 minas 15 shekels of silver, the debt of Anuli, has been entrusted to Agiya son of Puzur-Aššur."
1f94ecc8-0e2b-4d49-a8ae-359b99f5d4da,kunukkum mā-mā-hi-ir dan-a--šur mer'ēn PUZUR4-a--šur a--lā-hi-im a--hi-šu u šu-Ištar mer'ēn šu-kī(ma)-tim a--na en-Amurrum-a--šur mer'ēn ša-lim-a--šur,"Seal of Man-mahir, Dan-Aššur son of Puzur-Aššur, Ali-ahum his brother and Šu-Ištar son of Šukkutum; to Ennam-Aššur son of Šalim-Aššur."
c303e825-8e2c-4a8f-8cc3-8bbe54f4e067,Amurrum-mā ku-du-du-mā a--na mu-za u en-nam-a--šur qí-bi4-mā 17 mā-na werium šī-kam a--na kà-na-a- kà-ṣa-ri-ni a--dí-in-mā pu-úz-ra-am i- ṣa-at a--mā-kam ṣa-ba-sú-mā 2.5 mā-na.TA a- kasap ṣa-ba-at-mā kasap ša-áš-qí-il5-šu 1 mā-na ni-ga-li ku-nu-kī(ma)-a- a--na mu-za a--šur-rabi na-šī 2 šiqlam kasap ku-nu-kī(ma)-a- pī-it-ha-na ub-lā-ku-Amurrum a--ha-mā 5.6666 mā-na werium SIG5 ig-ri-šu šu-a--tí-mā a--dí-šu-Amurrum a--na en-nam-a--šur qí-bi4-mā anniki-kī(ma)-mā ni-iṣ-ba-at-mā 7 mā-na kasap nu-ša-ak-ni-ik a--na a--lu-a--mā ni-ip-qí-id a--ṣé-ri-kà u a- šī-bu-tí kasap a--mā-kam i- ri-iš ṭup-pī-a- <gap>,"<gap> From Kududu to Muza and Ennam-Aššur: I gave 17 minas of copper to our harnessor Kanaya but he has gone into hiding. Seize him there and take hold of 2.5 minas of silver (per talent) and make him pay the silver. Aššur-rabi brings 1 mina of sickles under my seal for Muza. Pithana has brought you 2 shekels of silver under my seal; further, I gave 5.6666 minas of good copper as his salary to him as well. To Ennam-Aššur: We seized my own tin and had 7 minas of silver sealed. We entrusted it to Aluwa; for you and for the witnesses the silver there gap> as soon as you have my tablet gap>"
32517007-54ea-4929-ae12-c7eeda6313b0,a--na šál-mā-a--šur kunukkum mā-mā-hi-ir,To Šalim-Aššur; sealed by Man-mahir.
5560ec99-490b-4783-b235-47003ce74e01,a--na e-na-ah-ilem šu-a--šur u en-Amurrum-a--šur qí-bi-mā Amurrum-mā mā-mā-hi-ir u šu-ku-tum-mā 2 mā-na 15 šiqlam kasap ša šu-ku-tum a--na tamkār ha-bu-lu ša ṭup-pī-šu ha-ar-mì-im kasap ku-nu-kī(ma) ša šu-kī(ma)-tim en-Amurrum-a--šur na-áš-a--ku-nu-tí ṭup-pá-am ša hu-bu-li-šu am-ra-mā mā-lā u4-mu-šu e-tí-qú-ni 2 ta-ah-sí-is-té-en6 pá-tí-té-en6 lu-up-ta-mā iš-tí-it e-na-ah-ilem lu-kà-il5 iš-tí-it šu-a--šur lu-kà-il5 i--nu-mì šu-ku-tum iš-tí tám-kà-ri-im i--na-mu-ru-u šu-mā li-bu-šu tamkār mā-lā u4-mu-šu e-tí-qú-ni ṣí-ib-tám i--ṣé-er šu-kī(ma)-tim li-il5-qé šu-mā ṣí-ib-tám lā i--lā-qé gi-mì-li a--na šu-kī(ma)-tim li-dí-mā li-ig-mì-il5-šu kasap ša kī(ma)-mā tamkār li-il5-qé-u-mā ṭup-pá-am ša hu-bu-ul šu-kī(ma)-tim šu-a--šur u en-Amurrum-a--šur li-il5-qé-u,"To Enah-ilī, Šu-Aššur and Ennam-Aššur from Man-mahir and Šukkutum: As to the 2 minas 15 shekels of silver that Šukkutum owes to the merchant, according to his certified tablet - Ennam-Aššur brings you the silver sealed by Šukkutum. Look at his debt-note and write two open memoranda about how much his terms are in arrears, and Enah-ilī should keep one while Šu-Aššur should keep the other. When Šukkutum meets with the merchant, the merchant may, if he wishes to do so, charge interest from Šukkutum in accordance with how much his terms are overdue. If he does not charge interest he will do Šukkutum a real favour. The representatives of the merchant should receive the silver, and Šu-Aššur and Ennam-Aššur must take Šukkutum's debt-note."
2fae4254-c181-4378-a0a5-359c85c791a5,kunukkum a--šùr-i--mì-tí kunukkum šu-a--nim kunukkum i--dí-a--bi-im ša 14 mā-na kasap ṣa-ru-pá-am i--ṣé-er i--dí-a--bi-im a--mur-Ištar i--šu-u iš-tù ha-mu-uš-tim ša da-lā-áš u du-ùh-ni-iš a--na 43 ha-am-ša-tim i--ša-qal šu-mā i--na mā-lā u4-me-šu lā iš-qúl 1.5 šiqlam i- warḫē a--1 mā-na-im u-ṣa-áb i--na kasap a--nim 5 ⅔ mā-na 5 šiqlam ša a--šùr-e-mu-qí i--šé-ra-tim wa-ar-kī(ma)-a--tim i--mā-ar,"Seal of Aššur-imittī, seal of Šu-Anum, seal of Iddin-abum. Concerning 14 minas of refined silver that Iddin-abum owes to Amur-Ištar. Reckoned from the week of Dalaš and Duhniš he must pay within 43 weeks. If he has not paid within the stipulated term he must pay interest at the rate 1.5 shekel per month per mina. Of this silver 5.6666 minas 5 shekels belong to Aššur-emūqi. He will await the coming ."
